wiki-0.7-iteration,wiki-0.7-time_cost,wiki-0.7-price_cost,wiki-0.7-overhead
0,0.00024856,0.00532,
1,0.000117072,0.003908272,16.3
2,0.00011119999999999999,0.003788384,7.007599999999999
3,0.000106048,0.0037362400000000005,6.511799999999999
4,0.000102944,0.00367768,5.610000000000001
5,0.000102288,0.0036796479999999998,6.099
6,0.000110304,0.003770896,8.6426
7,0.000115872,0.00380184,8.468799999999998
8,0.00012078400000000001,0.0038143839999999997,8.5006
9,0.000124672,0.003816816,8.255799999999999
10,0.000129072,0.0038262879999999997,8.379
