wiki-0.6-iteration,wiki-0.6-time_cost,wiki-0.6-price_cost,wiki-0.6-overhead
0,0.00024856,0.00532,
1,0.000124368,0.003827408,14.181000000000001
2,0.00011572800000000001,0.0037712320000000002,6.0344
3,0.000112768,0.0037256960000000006,6.974199999999999
4,0.000110992,0.003745856,3.5732
5,0.00010995200000000001,0.003702864,5.19
6,0.00011696,0.00374576,7.864199999999999
7,0.000128048,0.0037508159999999997,8.543400000000002
8,0.00012995199999999996,0.0037449119999999995,7.9384
9,0.000134528,0.0037077440000000002,8.8046
10,0.000136992,0.0038305439999999995,8.034200000000002
