wiki-0.1-iteration,wiki-0.1-time_cost,wiki-0.1-price_cost,wiki-0.1-overhead
0,0.00024856,0.00532,
1,0.000231232,0.004817439999999999,2.4516
2,0.00021745599999999999,0.0043104319999999995,2.3842
3,0.00020534400000000002,0.004084944,2.0972
4,0.000194528,0.004023792,1.2478000000000002
5,0.000179648,0.003950319999999999,1.5802
6,0.00018500800000000001,0.00401184,0.983
7,0.00018385599999999998,0.003996512,1.2128
8,0.00018328,0.003974752,1.198
9,0.000180544,0.0039673600000000005,1.1846
10,0.000180976,0.003979696,1.3094000000000001
