wiki-1.0-iteration,wiki-1.0-time_cost,wiki-1.0-price_cost,wiki-1.0-overhead
0,0.00024856,0.00532,
1,0.000134528,0.004661264,20.4268
2,0.00012121600000000001,0.00437952,12.078399999999998
3,0.000103264,0.00405896,11.7534
4,9.574400000000001e-05,0.00386752,11.3616
5,8.8032e-05,0.003471792,13.263
6,0.000128992,0.00382672,11.7272
7,0.000133424,0.003914864,11.0636
8,0.00012807999999999998,0.003549312,15.146600000000001
9,0.000134592,0.0035401119999999993,11.642599999999998
10,0.000126672,0.003638464,14.4248
