wiki-0.8-iteration,wiki-0.8-time_cost,wiki-0.8-price_cost,wiki-0.8-overhead
0,0.00024856,0.00532,
1,0.000122352,0.004122144,17.926399999999997
2,0.000112064,0.0037991839999999997,9.8774
3,0.00010755199999999999,0.0037811999999999998,8.8794
4,9.980799999999999e-05,0.003579296,6.2164
5,9.7136e-05,0.00356584,7.557
6,0.000107824,0.0037602880000000005,9.176599999999999
7,0.00011262400000000001,0.0038094879999999998,9.3086
8,0.00011703999999999998,0.0038197920000000002,8.9226
9,0.00012100799999999999,0.003842944,8.825999999999999
10,0.00012440000000000002,0.0038610400000000005,8.6554
