Iteration,Time_cost,Price_cost,Overhead
0,0.00024856,0.00532,
1,0.00022312,0.00517416,2.242
2,0.00022672,0.00463584,2.732
3,0.00019,0.00412832,2.24
4,0.00017768,0.0039756,1.175
5,0.00016456,0.00386744,1.339
6,0.00017464,0.00390248,1.491
7,0.00017592,0.003882,1.88
8,0.00017744,0.0038544,1.32
9,0.0001808,0.00386904,1.468
10,0.00017728,0.00383872,1.825
