Iteration,Time_cost,Price_cost,Overhead
0,0.00024856,0.00532,
1,0.00013792,0.00486984,20.783
2,0.00012448,0.004698,11.662
3,0.00010448,0.00338208,15.972
4,8.16e-05,0.00355544,8.89
5,9.2e-05,0.00335696,10.216
6,9.264e-05,0.00328024,14.742
7,0.00011192,0.00339224,10.217
8,0.00010616,0.00334512,15.162
9,0.00011464,0.00341416,10.54
10,0.00011272,0.00335368,15.646
