Iteration,Time_cost,Price_cost,Overhead
0,0.00024856,0.00532,
1,0.00022392,0.00489032,2.206
2,0.00019168,0.00455016,2.147
3,0.0001788,0.0040784,2.175
4,0.00016048,0.00389296,1.229
5,0.00015048,0.00388256,1.115
6,0.00015752,0.00404496,1.176
7,0.00015408,0.00398376,1.326
8,0.00015408,0.0039756,0.709
9,0.00015736,0.00399656,1.274
10,0.00015144,0.0039404,1.718
