Iteration,Time_cost,Price_cost,Overhead
0,0.00024856,0.00532,
1,0.00016976,0.00413736,8.776
2,0.00016856,0.00439768,5.703
3,0.00014464,0.00390256,6.759
4,0.00012024,0.0037156,4.296
5,0.00011592,0.00372416,4.158
6,0.00011856,0.00375416,6.017
7,0.00011736,0.00372784,6.305
8,0.00011824,0.0037732,4.78
9,0.0001272,0.00385552,4.921
10,0.00012256,0.00371912,7.875
