Iteration,Time_cost,Price_cost,Overhead
0,0.00024856,0.00532,
1,0.00013544,0.0043436,18.479
2,0.00013104,0.00404152,11.43
3,0.00011752,0.00395296,8.341
4,0.0001124,0.00397848,9.798
5,0.00010608,0.00384568,6.805
6,0.00010712,0.00397816,9.937
7,0.00011168,0.00375008,13.892
8,0.00012008,0.00410184,9.292
9,0.00012744,0.00429984,9.26
10,0.00012488,0.0038236,13.81
