Iteration,Time_cost,Price_cost,Overhead
0,0.00024856,0.00532,
1,0.000128,0.00401272,15.311
2,0.00011488,0.00402544,6.954
3,0.00011216,0.003976,7.726
4,0.0001104,0.00394648,4.628
5,0.00011016,0.0039468,4.053
6,0.00011968,0.0040456,8.553
7,0.00012584,0.00409224,8.188
8,0.00012464,0.00391336,11.074
9,0.00012592,0.00417896,8.389
10,0.00014672,0.0040004,12.343
