Iteration,Time_cost,Price_cost,Overhead
0,0.00024856,0.00532,
1,0.00014128,0.004872,20.411
2,0.00012856,0.00470736,11.887
3,0.00011432,0.0042284,17.169
4,0.00011104,0.00441224,11.035
5,9.704e-05,0.00322712,17.614
6,0.00015456,0.00363664,11.218
7,0.00015616,0.00362904,11.132
8,0.0001392,0.00353704,15.848
9,0.00014776,0.00449456,9.851
10,0.00010832,0.00366424,16.739
