Iteration,Time_cost,Price_cost,Overhead
0,0.00024856,0.00532,
1,0.00013328,0.00433952,965.579
2,0.00012448,0.00410952,508.23
3,0.00010968,0.00388224,370.968
4,0.0001032,0.00374552,362.452
5,9.72e-05,0.0037064,272.268
6,0.0001032,0.00394688,361.303
7,0.00011168,0.0041156,284.196
8,0.00011464,0.00416224,219.552
9,0.00012104,0.00431456,162.59
10,0.00011576,0.00385472,136.915
